prompt_text,answer_text,quality
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
What is the weather today?,The weather is sunny today.,0.9
Who won the match?,The match was won by Team A.,0.5
How are you?,"I am fine, thank you.",0.8
What is your favorite food?,My favorite food is pizza.,0.6
